matrix	Df	SumOfSqs	R2	F	Pr(>F)	component	n	p_BH
braycurtis_gut	1	0.9130818029585335	0.018757934350012384	2.8483615980124593	0.001	BackJoints	33	0.016
braycurtis_gut	0	0	0	0	NA	HeartTr	0	NA
braycurtis_gut	1	0.5708783585245398	0.01172786352367211	1.7681887412688393	0.023	Breath	5	0.06186666666666667
braycurtis_gut	1	0.5644161712249406	0.011595107307601873	1.7479385235806881	0.02	Cough	4	0.06186666666666667
braycurtis_gut	1	0.6528955030778494	0.013412786175861167	2.025675087007109	0.007	Throat	8	0.028
braycurtis_gut	1	0.267675087013645	0.005498994386994513	0.8238806788909571	0.798	SwollenJ	2	0.823741935483871
braycurtis_gut	1	0.35602772201677696	0.007314070453201716	1.0978260747833835	0.231	Numbness	1	0.308
braycurtis_gut	1	0.3082915658052828	0.006333400724119613	0.9496914846302699	0.483	MuscleSp	6	0.5205333333333333
braycurtis_gut	1	0.3109643074560464	0.006388308304423066	0.9579777948614029	0.478	MuscleWeak	5	0.5205333333333333
braycurtis_gut	1	0.8116090834073568	0.016673325276114728	2.526449785203564	0.003	Sleep	23	0.019200000000000002
braycurtis_gut	1	0.8180491513312017	0.01680562708186059	2.5468396729785945	0.002	ViDreams	14	0.016
braycurtis_gut	1	0.5272058188257256	0.010830674871007799	1.6314401536559164	0.029	ViDreamsAwa	2	0.06186666666666667
braycurtis_gut	1	0.8319763257004981	0.017091740573175345	2.5909532461230893	0.002	SleepDay	22	0.016
braycurtis_gut	1	0.7604139530389991	0.015621595966234273	2.364555936447653	0.005	Diz	7	0.022857142857142857
braycurtis_gut	1	0.320778742381403	0.0065899315603195245	0.9884133790085798	0.421	Concent	4	0.49896296296296294
braycurtis_gut	1	0.5272058188257256	0.010830674871007799	1.6314401536559164	0.029	confusion	2	0.06186666666666667
braycurtis_gut	1	0.6598600007425088	0.013555861626002877	2.047580094706427	0.009	Stom	42	0.031999999999999994
braycurtis_gut	1	0.5033212338512597	0.010340000896916269	1.5567570024420558	0.051	Indigestion	6	0.09422222222222222
braycurtis_gut	1	0.3347836244719495	0.006877641443467929	1.0318653751448976	0.381	Nausea	6	0.46892307692307694
braycurtis_gut	1	0.44078629119581836	0.009055311677273777	1.3615708886815066	0.098	LossAp	13	0.15680000000000002
braycurtis_gut	1	0.5272058188257256	0.010830674871007799	1.6314401536559164	0.029	Incontinence	2	0.06186666666666667
braycurtis_gut	1	0.37925412199617425	0.007791222976216622	1.1700080167991198	0.256	Headache	17	0.32768
braycurtis_gut	1	0.5242081208600672	0.010769091537007724	1.622062781587844	0.043	Skin	11	0.086
braycurtis_gut	1	0.4369767058089524	0.008977049299953306	1.3496966389609764	0.12	Itching	9	0.17454545454545453
braycurtis_gut	1	0.4580429475735337	0.009409824521999266	1.4153823533544907	0.076	RingEars	3	0.128
braycurtis_gut	1	0.5070140611342372	0.010415864649228035	1.5682990230889888	0.053	EyePain	7	0.09422222222222222
braycurtis_gut	1	0.4334547890640385	0.008904696655455029	1.3387207034332498	0.113	Fatigue	9	0.1721904761904762
braycurtis_gut	1	0.5720900849902931	0.011752756677189271	1.7719864707269264	0.024	Initiative	5	0.06186666666666667
braycurtis_gut	1	0.30660804325525565	0.006298815207939296	0.9444725238798504	0.488	Sadness	2	0.5205333333333333
braycurtis_gut	1	0.8194085051757515	0.016833553024631416	2.5511442222081033	0.002	Anxious	8	0.016
braycurtis_gut	1	0.37022679514110146	0.007605769708004629	1.1419450576201426	0.202	Irritated	3	0.28104347826086956
braycurtis_gut	1	0.23950091775011045	0.004920197157984881	0.7367342543240627	0.957	Anger	1	0.957
braycurtis_gut	1	0.7085816558961419	0.014556776993973796	2.200999227013642	0.004	Other	7	0.021333333333333333
braycurtis_oral	1	0.6829546848926237	0.023650293297257534	3.6576999648479096	0.001	BackJoints	34	0.032
braycurtis_oral	0	0	0	0	NA	HeartTr	0	NA
braycurtis_oral	1	0.5124780158233527	0.017746792943553004	2.7281822194371377	0.004	Breath	5	0.032
braycurtis_oral	1	0.41979700308110723	0.014537307478517222	2.2275155070959194	0.011	Cough	4	0.05866666666666666
braycurtis_oral	1	0.45306996315979253	0.015689529261507948	2.4068817602948362	0.005	Throat	8	0.032
braycurtis_oral	1	0.2130452596287581	0.007377624002392912	1.122301140191117	0.288	SwollenJ	3	0.3425185185185185
braycurtis_oral	1	0.22773559891296874	0.007886341257568387	1.2003035331680547	0.233	Numbness	1	0.33890909090909094
braycurtis_oral	1	0.25823691733760173	0.00894258282476553	1.3625144044513369	0.143	MuscleSp	6	0.27670588235294113
braycurtis_oral	1	0.21875841712065014	0.0075754670706455526	1.1526272171960772	0.251	MuscleWeak	5	0.3425185185185185
braycurtis_oral	1	0.30878141484116134	0.01069290713904947	1.6320806649906532	0.063	Sleep	24	0.2016
braycurtis_oral	1	0.28539602841478073	0.009883085843306308	1.5072421660530055	0.096	ViDreams	14	0.23630769230769233
braycurtis_oral	1	0.29013582389542475	0.01004722199430712	1.5325281718959434	0.077	ViDreamsAwa	3	0.2053333333333333
braycurtis_oral	1	0.2889476351854681	0.010006075762932512	1.5261885989524513	0.075	SleepDay	21	0.2053333333333333
braycurtis_oral	1	0.2561935560702454	0.008871822502954674	1.3516366786476006	0.135	Diz	7	0.27670588235294113
braycurtis_oral	1	0.21219968576567094	0.007348342308733179	1.1178137668146788	0.305	Concent	4	0.34857142857142853
braycurtis_oral	1	0.21176231993074496	0.007333196603603671	1.115492815268425	0.283	confusion	2	0.3425185185185185
braycurtis_oral	1	0.3439346332078524	0.011910241089757335	1.8201245264770802	0.023	Stom	41	0.092
braycurtis_oral	1	0.2683317477152447	0.009292160482695875	1.4162765014262007	0.112	Indigestion	5	0.256
braycurtis_oral	1	0.23552920631719357	0.00815622900419476	1.2417183185986027	0.163	Nausea	6	0.2812631578947368
braycurtis_oral	1	0.18481111785287166	0.006399893343584926	0.9726084854532906	0.459	LossAp	12	0.47380645161290325
braycurtis_oral	1	0.21176231993074496	0.007333196603603671	1.115492815268425	0.283	Incontinence	2	0.3425185185185185
braycurtis_oral	1	0.2349503899346405	0.008136184955130524	1.2386417465679318	0.19	Headache	17	0.30400000000000005
braycurtis_oral	1	0.45463707227101174	0.015743797269223522	2.415340011124134	0.003	Skin	11	0.032
braycurtis_oral	1	0.2603131852287582	0.009014482682363326	1.3735688980816523	0.147	Itching	9	0.27670588235294113
braycurtis_oral	1	0.31223598816209147	0.010812536851040864	1.650539584589648	0.049	RingEars	3	0.17422222222222222
