exercise	sex	age_mean	age_sd	height_mean	height_sd	weight_mean	weight_sd	bmi_mean	bmi_sd	fi_mean	fi_sd
0	0	56.6	1.140175425099138	161.4	4.512759687818532	58.6	6.945502141674136	22.476935792000003	2.339898442626833	0.037500000799999995	0.027163344403196545
0	1	60.833333333333336	3.65604522218567	171.2	12.672489889520529	76.03333333333333	14.730331519238343	25.751480015	2.159222411951033	0.031250001000000006	0.018504045662076123
1	0	60.666666666666664	2.3380903889000244	160.61666666666667	3.612985838149194	62.983333333333334	8.931610530395213	24.39099728833333	3.208480088606334	0.027777778333333333	0.031365528377031555
1	1	58	1.7320508075688772	174.86	4.45342564774579	84.92	5.424665888328974	27.756941722	1.0322298508971723	0.0083333334	0.01242259997437963
