rowname	Df	SumOfSqs	R2	F	Pr(>F)
Model	1	12.800956384833528	0.01855629834369469	6.466243578550161	0.001
Residual	342	677.043329783545	0.9814437016563053	NA	NA
Total	343	689.8442861683785	1	NA	NA
