rowname	Df	SumOfSqs	R2	F	Pr(>F)
fi36	1	0.06676349127538472	2.2840404134795545e-4	0.5350472512761573	0.588
participant_id	21	273.7089920309495	0.9363836243266317	104.4534691741461	0.001
Residual	129	16.0966911875217	0.055068260351979176	NA	NA
Total	151	292.30433437767346	1	NA	NA
