rowname	Df	SumOfSqs	R2	F	Pr(>F)
Model	1	45.93474630677679	0.06674291381517596	24.38699255316203	0.001
Residual	341	642.2993100303347	0.9332570861848241	NA	NA
Total	342	688.2340563371115	1	NA	NA
