rowname	Df	SumOfSqs	R2	F	Pr(>F)
fi36	1	19.354429909844214	0.06490489755076839	10.550311301895018	0.001
Residual	152	278.84232627030724	0.9350951024492304	NA	NA
Total	153	298.1967561801518	1	NA	NA
