rowname	Df	SumOfSqs	R2	F	Pr(>F)
Model	3	85.02548322709436	0.12354152260295455	15.92795598896324	0.001
Residual	339	603.2085731100168	0.876458477397045	NA	NA
Total	342	688.2340563371115	1	NA	NA
