rowname	Df	SumOfSqs	R2	F	Pr(>F)
fi36	1	1.2871746393241708	0.0044167435484718815	3.3957281302242954	0.035
participant_id	21	228.9840694880949	0.7857239264326986	28.766128260361572	0.001
Residual	130	49.27741465012085	0.16908793616037185	NA	NA
Total	152	291.4306944014242	1	NA	NA
