rowname	Df	SumOfSqs	R2	F	Pr(>F)
fi36	1	2.4986511592010174	0.008548115321384941	1.2932723393060896	0.279
Residual	150	289.8056832184718	0.9914518846786129	NA	NA
Total	151	292.30433437767346	1	NA	NA
