rowname	Df	SumOfSqs	R2	F	Pr(>F)
Model	21	655.8926953663829	0.9530081944173842	309.9989623977695	0.001
Residual	321	32.34136097072854	0.04699180558261572	NA	NA
Total	342	688.2340563371115	1	NA	NA
