rowname	Df	SumOfSqs	R2	F	Pr(>F)
fi36	1	0.11092910611874096	3.8110463041078965e-4	0.8926094626614559	0.434
participant_id	21	268.8379743814899	0.9236114889213345	103.01187516096978	0.001
Residual	128	15.90720934199208	0.05465031991385309	NA	NA
Total	150	291.0725750017032	1	NA	NA
