rowname	Df	SumOfSqs	R2	F	Pr(>F)
fi36	1	0.9798391483280611	0.003285881311653517	2.586775855891926	0.086
participant_id	21	229.2211238230164	0.7686908696100482	28.816375469943498	0.001
Residual	131	49.62120244729034	0.16640423283918057	NA	NA
Total	153	298.1967561801518	1	NA	NA
