rowname	Df	SumOfSqs	R2	F	Pr(>F)
Model	1	85.46357505541764	0.12388821183126755	48.361144112506125	0.001
Residual	342	604.3807111129609	0.8761117881687324	NA	NA
Total	343	689.8442861683785	1	NA	NA
